Arrival time,Preprocessing start,Preprocessing end/Classification start,Classification end
0,0,11.457415703576963,31.060091211249766
1170.9715454037064,1170.9715454037064,1182.0797868467503,1201.334589938989
2343.106044071018,2343.106044071018,2355.175511851978,2372.7907091311085
3630.042003924557,3630.042003924557,3640.620285377252,3663.0560046427127
4982.254662138999,4982.254662138999,4993.492077322929,5013.038583083516
6422.584521254207,6422.584521254207,6433.186401951112,6450.7969432786285
8085.509706579252,8085.509706579252,8095.998455796847,8118.284962432887
9322.031284438668,9322.031284438668,9333.313524035893,9351.524793982468
10647.199684009442,10647.199684009442,10659.36457775838,10680.094543645044
11973.924017318299,11973.924017318299,11985.051964224196,12005.42929219392
13177.522232030282,13177.522232030282,13189.662588211633,13208.565642721847
14610.875559358767,14610.875559358767,14622.320846429697,14643.637843501496
15966.303273150927,15966.303273150927,15976.497414346544,15994.565335956282
17163.66427324206,17163.66427324206,17173.91372362966,17192.952750558114
18446.54128446195,18446.54128446195,18458.022894159298,18477.68295157917
19634.359203052474,19634.359203052474,19645.60514700856,19667.951879024582
20731.903982055454,20731.903982055454,20742.28246530235,20763.793729421184
21947.759714717402,21947.759714717402,21958.891352002764,21980.10139529712
23204.9379780471,23204.9379780471,23215.89363871488,23238.83867086872
24498.21204570561,24498.21204570561,24510.454932005516,24528.43374415692
25906.465612666296,25906.465612666296,25918.347553248925,25941.13436863276
27335.151621844674,27335.151621844674,27345.58381015165,27364.47672531347
28637.54100660517,28637.54100660517,28648.632403542964,28670.22573202278
30025.73050739615,30025.73050739615,30037.138403882436,30058.79189868654
31296.06175895755,31296.06175895755,31307.506848451078,31326.770372253035
32692.39823519112,32692.39823519112,32704.579022457947,32725.509678695948
33910.65740194283,33910.65740194283,33922.20843362803,33943.235392843635
35133.87110108983,35133.87110108983,35145.304741561595,35165.25847254576
36562.974484384904,36562.974484384904,36574.556251176225,36596.65924402373
37807.09175511268,37807.09175511268,37818.37708180228,37836.90970790193
39195.96705862413,39195.96705862413,39207.34575135889,39227.46657931712
40518.27376749228,40518.27376749228,40529.29890250528,40551.16496911641
41726.30953507402,41726.30953507402,41736.99768152148,41759.19726038056
43019.02733637627,43019.02733637627,43029.703548708145,43051.22857323199
44290.195288591916,44290.195288591916,44300.28139967959,44322.08760888404
45611.12466807457,45611.12466807457,45622.88627854299,45644.78279531839
46877.049454300075,46877.049454300075,46887.39550830518,46905.565100736865
48069.00694101907,48069.00694101907,48080.420292942195,48099.547588232715
49302.61400348782,49302.61400348782,49314.04322582008,49331.61447981624
50571.00684099576,50571.00684099576,50582.241668840914,50601.04611221448
52018.5795663788,52018.5795663788,52029.771744544014,52050.20162289301
53379.91816839873,53379.91816839873,53391.87999433773,53414.694684212525
54691.01101568832,54691.01101568832,54703.21126730448,54721.387475731135
55968.483333011,55968.483333011,55978.66435746109,55997.04883970376
57224.78350889596,57224.78350889596,57236.54621492022,57259.3695920169
58676.98164412982,58676.98164412982,58687.744628955144,58707.78182714887
60026.62066045693,60026.62066045693,60037.89539674025,60060.43004240723
61278.33449352017,61278.33449352017,61289.629545357566,61307.67421885071
62765.53760152987,62765.53760152987,62775.60972617317,62794.38033053802
64070.46620694097,64070.46620694097,64082.046300744434,64099.80905628325
65340.9283921698,65340.9283921698,65353.018940995906,65370.4824955785
66767.22775564986,66767.22775564986,66779.30218453189,66798.8028582416
68034.59673628907,68034.59673628907,68046.28280486392,68064.37496627682
69179.06079006879,69179.06079006879,69190.564640391,69210.76755258477
70464.19776114942,70464.19776114942,70475.2224767353,70492.9028049851
71620.76817138532,71620.76817138532,71631.80867637818,71651.48534096249
72862.45739442948,72862.45739442948,72874.70581017567,72895.13377477722
74127.70167843581,74127.70167843581,74139.17220066237,74161.22664167229
75574.10257433447,75574.10257433447,75585.70153750537,75604.76147837224
76890.01977368613,76890.01977368613,76901.98390619995,76922.03273040784
78030.62882496443,78030.62882496443,78040.73736712674,78061.85043480375
79316.24284232012,79316.24284232012,79328.3241728529,79345.92756187706
80668.78338303193,80668.78338303193,80680.03125121207,80702.96686141296
81940.6934082848,81940.6934082848,81952.56898078453,81971.49903222463
83346.59403454495,83346.59403454495,83358.51146752748,83375.81996544251
84768.24237308788,84768.24237308788,84780.09621147456,84802.6677660126
86049.91099112612,86049.91099112612,86061.17295218376,86083.5882370767
87310.34710248871,87310.34710248871,87322.20122542679,87339.54695808231
88599.72568783397,88599.72568783397,88610.53841170164,88629.88519222093
89977.42356090949,89977.42356090949,89989.14744531995,90008.61433951183
91267.5892069135,91267.5892069135,91278.31599607495,91300.74418132014
92442.80426772051,92442.80426772051,92454.68110172155,92473.75167858336
93602.12095550305,93602.12095550305,93613.75944995505,93633.84768344642
94754.82116528292,94754.82116528292,94766.38622926398,94788.21661698534
96102.20752789432,96102.20752789432,96113.74164648716,96135.40014386633
97517.41022376875,97517.41022376875,97527.58154556277,97549.7141948438
98802.77844861578,98802.77844861578,98814.65648028906,98833.20320253543
100134.41548342572,100134.41548342572,100145.18638297517,100166.75529490226
101416.7719415286,101416.7719415286,101427.19744368824,101447.92120965192
102632.83674880005,102632.83674880005,102644.83868311525,102667.10296279388
103978.79779305073,103978.79779305073,103989.2064633214,104008.70244422466
105204.95275619347,105204.95275619347,105215.62197651234,105233.65691932262
106558.65351211342,106558.65351211342,106569.88447376729,106588.91341489738
107936.11637256366,107936.11637256366,107948.15644129501,107967.51612949838
109255.00031272566,109255.00031272566,109266.10530791036,109285.89641089064
110478.53723716833,110478.53723716833,110490.44572843143,110511.56539091728
111589.77444423133,111589.77444423133,111601.89208381371,111622.12487704355
112854.25112030256,112854.25112030256,112864.72743651626,112882.71014947265
114003.12268643256,114003.12268643256,114014.72406012994,114035.13378683291
115305.7601504901,115305.7601504901,115316.46408210247,115337.56563487485
116439.85834969732,116439.85834969732,116450.75238173977,116471.5087397707
117746.16564503314,117746.16564503314,117757.57418062167,117780.46089653847
119079.85344730037,119079.85344730037,119091.379499496,119112.62052723109
120277.48757690848,120277.48757690848,120288.72070595487,120308.58175819275
121536.72736348523,121536.72736348523,121547.03694467786,121565.53714200895
122714.20706707526,122714.20706707526,122724.47950572688,122744.64980246838
123853.97881614184,123853.97881614184,123865.5193077106,123887.47137183914
125174.15884017151,125174.15884017151,125185.13127703001,125207.01925329983
126311.18046378146,126311.18046378146,126321.77134126588,126341.15706731264
127585.73070285724,127585.73070285724,127596.3619240855,127615.19024942594
128942.80153304097,128942.80153304097,128953.75240304487,128975.16504308746
129998.20524162077,129998.20524162077,130009.36169463163,130030.80675567365
131242.4861121865,131242.4861121865,131252.95403740762,131273.59872156853
132428.1891149535,132428.1891149535,132438.55510660377,132458.43737175592
133654.862366373,133654.862366373,133665.405122003,133683.44585387237
135018.80059742022,135018.80059742022,135029.11023860995,135049.07305455286
136226.868015062,136226.868015062,136237.14580686885,136258.732261956
137430.47158088887,137430.47158088887,137442.26073140075,137459.78266508924
138759.603811534,138759.603811534,138771.0432201785,138791.14791503607
139970.82832620712,139970.82832620712,139982.06648633926,140003.47553384112
141185.89296849206,141185.89296849206,141196.48883122174,141215.60621087535
142459.54745383296,142459.54745383296,142471.3948798288,142488.84025380234
143730.54284395583,143730.54284395583,143741.40818705328,143762.45162851177
145085.32928506928,145085.32928506928,145095.9928205873,145118.60957561262
146301.6740714198,146301.6740714198,146313.76029500886,146333.93242661076
147759.35765010212,147759.35765010212,147771.08881243962,147788.62872376307
149101.48375077776,149101.48375077776,149113.6310848789,149133.98066965945
150458.54492750097,150458.54492750097,150469.8626543565,150490.82548793752
151751.38251796097,151751.38251796097,151762.67572225435,151780.70374659874
152937.9274292014,152937.9274292014,152949.35408258793,152968.37941070736
154156.52148075873,154156.52148075873,154168.02804522676,154189.9340270088
155398.31089992516,155398.31089992516,155409.72025520256,155430.47141768914
156685.27528260485,156685.27528260485,156695.99103916474,156714.60589659444
158017.7429643794,158017.7429643794,158029.77868798753,158050.80997498598
159406.57090237906,159406.57090237906,159418.1559851195,159439.96098386997
160657.1914032102,160657.1914032102,160669.02322330928,160691.74017928672
162023.42663514183,162023.42663514183,162035.14978215567,162053.15641358023
163099.33946761081,163099.33946761081,163110.85486949547,163128.9929386863
164357.14510233703,164357.14510233703,164368.6303498143,164389.85832326036
165494.82843310764,165494.82843310764,165506.9231657096,165526.47394619556
166599.8862608093,166599.8862608093,166612.01716829717,166629.56714514183
167919.47934720083,167919.47934720083,167930.2901737134,167950.65444028485
169174.54276178355,169174.54276178355,169186.53157245406,169207.69686993628
170274.14744807783,170274.14744807783,170286.28766136375,170308.28861792083
171358.4529149604,171358.4529149604,171368.78604838107,171391.0716635995
172688.94554842907,172688.94554842907,172699.72446764653,172720.54288674117
174017.93201708974,174017.93201708974,174028.73071386234,174051.716623809
175142.72074261293,175142.72074261293,175153.04103009807,175171.14304314525
176306.2106094684,176306.2106094684,176317.0317833583,176338.2580208827
177424.21140856313,177424.21140856313,177435.21651249457,177458.10743348996
178766.49333696772,178766.49333696772,178777.27272636743,178795.62807670978
180014.93470008488,180014.93470008488,180026.39220353003,180047.176026497
181252.06656934717,181252.06656934717,181264.2311163887,181284.79878881082
182398.6386839078,182398.6386839078,182410.45566434384,182431.44060086823
183508.9358880609,183508.9358880609,183521.158410233,183542.09886065774
184770.81038899728,184770.81038899728,184782.9157641739,184805.07743087105
185971.79397792066,185971.79397792066,185983.0313586673,186003.89718188348
187201.14432541767,187201.14432541767,187211.9876839395,187233.25144407694
188534.25017348383,188534.25017348383,188545.1098551434,188565.27209932875
189876.56441566214,189876.56441566214,189887.28776952124,189907.61651773428
191229.95249636873,191229.95249636873,191241.91496677574,191263.204334713
192304.10088351244,192304.10088351244,192316.13915736778,192333.39448365025
193504.1127437761,193504.1127437761,193514.56376614363,193533.58264389492
194753.7897118249,194753.7897118249,194765.20523739903,194785.26845336598
195978.5837620141,195978.5837620141,195990.36026074697,196012.64874667526
197334.53133396347,197334.53133396347,197346.7202250954,197364.39738274133
198384.9936354153,198384.9936354153,198396.97602803886,198414.9005020218
199539.30272008185,199539.30272008185,199551.2403829141,199569.92678517022
200701.6327162313,200701.6327162313,200712.20291662993,200731.3600573391
201941.23917018124,201941.23917018124,201951.53704413082,201968.97352537874
203063.70340418827,203063.70340418827,203074.34667288448,203093.08843854428
204305.4872184782,204305.4872184782,204316.71742669353,204338.63453324913
205529.5148338213,205529.5148338213,205540.80979733553,205560.91715476036
206600.34120729088,206600.34120729088,206612.54055983495,206630.47690719806
207744.3256752572,207744.3256752572,207754.55285198867,207776.22829436653
208873.33974266457,208873.33974266457,208885.02104324487,208907.83396941132
210055.48213962454,210055.48213962454,210065.77015818394,210084.3615204612
211273.2001915279,211273.2001915279,211284.4993282717,211303.67221101525
212592.38023948873,212592.38023948873,212604.59335776913,212622.2992250129
213924.81942809606,213924.81942809606,213935.77718808068,213956.07916835984
215147.3721947057,215147.3721947057,215159.39942884582,215180.07304692268
216379.88619848454,216379.88619848454,216390.09938230278,216407.9065218697
217620.85627373747,217620.85627373747,217633.08010254192,217652.28138661163
218903.70003471407,218903.70003471407,218914.71092517112,218933.27330486377
220271.64073415037,220271.64073415037,220282.52682147003,220300.58503814164
221338.13733721405,221338.13733721405,221348.99420136324,221366.5273700304
222630.35010934045,222630.35010934045,222641.99800936607,222661.51791930865
223802.79526305682,223802.79526305682,223813.9258426681,223835.40717270446
224854.18532600164,224854.18532600164,224865.5469529355,224886.36630941852
226021.20032305244,226021.20032305244,226031.65816080826,226053.52697605963
227277.16171358255,227277.16171358255,227288.01781612384,227305.6964554869
228581.04899088258,228581.04899088258,228591.93559240812,228613.02386409603
229758.91923239146,229758.91923239146,229770.93978733334,229789.21950129085
231073.61210940324,231073.61210940324,231085.54633515794,231105.62399044575
232370.54153004754,232370.54153004754,232380.61639839553,232402.14015314073
233530.60724422373,233530.60724422373,233542.0523006368,233563.70239271683
234797.58051687048,234797.58051687048,234808.27934062717,234829.77907185987
235988.82951935157,235988.82951935157,235999.94531598946,236020.07497489528
237228.7680671345,237228.7680671345,237240.9489927818,237263.66533232213
238533.7620293895,238533.7620293895,238545.3284183292,238567.03328363335
239846.78747639377,239846.78747639377,239857.19234921294,239877.20816221315
241134.4745155398,241134.4745155398,241146.32663472262,241168.94924402813
242246.80217296426,242246.80217296426,242257.51713699833,242276.03015240296
243343.47070227968,243343.47070227968,243353.9386057142,243375.19249218528
244659.63149837346,244659.63149837346,244671.17963567827,244693.92947981617
245850.06686086475,245850.06686086475,245861.27436265533,245880.7478366566
247137.05174849372,247137.05174849372,247148.64579890462,247169.57124525873
248293.59452755883,248293.59452755883,248304.2563893996,248323.0445054763
249654.8011004633,249654.8011004633,249666.53329650214,249688.92403437776
251031.39661978502,251031.39661978502,251042.30372960638,251063.28672742445
252176.82359240614,252176.82359240614,252188.31413886393,252209.3419078846
